File number	Encoding	Confidence
725	Windows-1254	0.217656515046144
726	utf-8	0.99
727	utf-8	0.99
728	utf-8	0.99
729	utf-8	0.99
730	utf-8	0.99
731	utf-8	0.99
732	utf-8	0.99
733	utf-8	0.99
734	utf-8	0.99
735	utf-8	0.99
736	utf-8	0.99
737	utf-8	0.99
738	utf-8	0.99
739	utf-8	0.99
740	utf-8	0.99
741	utf-8	0.99
742	utf-8	0.99
743	utf-8	0.99
744	utf-8	0.99
745	utf-8	0.99
746	utf-8	0.99
747	utf-8	0.99
748	utf-8	0.99
749	utf-8	0.99
750	utf-8	0.99
751	utf-8	0.99
752	utf-8	0.99
753	utf-8	0.99
754	utf-8	0.99
755	utf-8	0.99
756	utf-8	0.99
757	utf-8	0.99
758	utf-8	0.99
759	utf-8	0.99
760	utf-8	0.99
761	utf-8	0.99
762	utf-8	0.99
763	utf-8	0.99
764	utf-8	0.99
765	utf-8	0.99
766	utf-8	0.99
767	utf-8	0.99
768	utf-8	0.99
769	utf-8	0.99
770	utf-8	0.99
771	utf-8	0.99
772	utf-8	0.99
773	utf-8	0.99
774	utf-8	0.99
775	utf-8	0.99
776	utf-8	0.99
777	utf-8	0.99
778	utf-8	0.99
779	utf-8	0.99
780	utf-8	0.99
781	utf-8	0.99
782	utf-8	0.99
783	utf-8	0.99
784	utf-8	0.99
785	utf-8	0.99
786	utf-8	0.99
787	utf-8	0.99
788	utf-8	0.99
789	utf-8	0.99
790	utf-8	0.99
791	utf-8	0.99
792	utf-8	0.99
793	utf-8	0.99
794	utf-8	0.99
795	utf-8	0.99
796	utf-8	0.99
797	utf-8	0.99
798	utf-8	0.99
799	utf-8	0.99
800	utf-8	0.99
801	utf-8	0.99
802	utf-8	0.99
803	utf-8	0.99
804	utf-8	0.99
805	utf-8	0.99
806	utf-8	0.99
807	utf-8	0.99
808	utf-8	0.99
809	utf-8	0.99
810	utf-8	0.99
811	utf-8	0.99
812	utf-8	0.99
813	utf-8	0.99
814	utf-8	0.99
815	utf-8	0.99
816	utf-8	0.99
817	utf-8	0.99
818	utf-8	0.99
819	utf-8	0.99
820	utf-8	0.99
821	utf-8	0.99
822	utf-8	0.99
823	utf-8	0.99
824	utf-8	0.99
825	utf-8	0.99
826	utf-8	0.99
827	utf-8	0.99
828	utf-8	0.99
829	utf-8	0.99
830	utf-8	0.99
831	utf-8	0.99
832	utf-8	0.99
833	utf-8	0.99
834	utf-8	0.99
835	utf-8	0.99
836	utf-8	0.99
837	utf-8	0.99
838	utf-8	0.99
839	utf-8	0.99
840	utf-8	0.99
841	utf-8	0.99
842	utf-8	0.99
843	utf-8	0.99
844	utf-8	0.99
845	utf-8	0.99
846	utf-8	0.99
847	utf-8	0.99
848	utf-8	0.99
849	utf-8	0.99
850	utf-8	0.99
851	utf-8	0.99
852	utf-8	0.99
853	utf-8	0.99
854	utf-8	0.99
855	utf-8	0.99
856	utf-8	0.99
857	utf-8	0.99
858	utf-8	0.99
859	utf-8	0.99
860	utf-8	0.99
861	utf-8	0.99
862	utf-8	0.99
863	utf-8	0.99
864	utf-8	0.99
865	utf-8	0.99
866	utf-8	0.99
867	utf-8	0.99
868	utf-8	0.99
869	utf-8	0.99
870	utf-8	0.99
871	utf-8	0.99
872	utf-8	0.99
873	utf-8	0.99
874	utf-8	0.99
875	utf-8	0.99
876	utf-8	0.99
877	utf-8	0.99
878	utf-8	0.99
879	utf-8	0.99
880	utf-8	0.99
881	utf-8	0.99
882	utf-8	0.99
883	utf-8	0.99
884	utf-8	0.99
885	utf-8	0.99
886	utf-8	0.99
887	utf-8	0.99
888	utf-8	0.99
889	utf-8	0.99
890	utf-8	0.99
891	utf-8	0.99
892	utf-8	0.99
893	utf-8	0.99
894	utf-8	0.99
895	utf-8	0.99
896	utf-8	0.99
897	utf-8	0.99
898	utf-8	0.99
899	utf-8	0.99
900	utf-8	0.99
901	utf-8	0.99
902	utf-8	0.99
903	utf-8	0.99
904	utf-8	0.99
905	utf-8	0.99
906	utf-8	0.99
907	utf-8	0.99
908	utf-8	0.99
909	utf-8	0.99
910	utf-8	0.99
911	utf-8	0.99
912	utf-8	0.99
913	utf-8	0.99
914	utf-8	0.99
915	utf-8	0.99
916	utf-8	0.99
917	utf-8	0.99
918	utf-8	0.99
919	utf-8	0.99
920	utf-8	0.99
921	utf-8	0.99
922	utf-8	0.99
923	utf-8	0.99
924	utf-8	0.99
925	utf-8	0.99
926	utf-8	0.99
927	utf-8	0.99
928	utf-8	0.99
929	utf-8	0.99
930	utf-8	0.99
931	utf-8	0.99
932	utf-8	0.99
933	utf-8	0.99
934	utf-8	0.99
935	utf-8	0.99
936	utf-8	0.99
937	utf-8	0.99
938	utf-8	0.99
939	utf-8	0.99
940	utf-8	0.99
941	utf-8	0.99
942	utf-8	0.99
943	utf-8	0.99
944	utf-8	0.99
945	utf-8	0.99
946	utf-8	0.99
947	utf-8	0.99
948	utf-8	0.99
949	utf-8	0.99
950	utf-8	0.99
951	utf-8	0.99
952	utf-8	0.99
953	utf-8	0.99
954	utf-8	0.99
955	utf-8	0.99
956	utf-8	0.99
957	utf-8	0.99
958	utf-8	0.99
959	utf-8	0.99
960	Windows-1254	0.3356245990800147
961	utf-8	0.99
962	utf-8	0.99
963	utf-8	0.99
964	utf-8	0.99
965	utf-8	0.99
966	utf-8	0.99
967	utf-8	0.99
968	utf-8	0.99
969	utf-8	0.99
970	utf-8	0.99
971	utf-8	0.99
972	utf-8	0.99
973	utf-8	0.99
974	utf-8	0.99
975	utf-8	0.99
976	utf-8	0.99
977	utf-8	0.99
978	utf-8	0.99
979	utf-8	0.99
980	utf-8	0.99
981	utf-8	0.99
982	utf-8	0.99
983	utf-8	0.99
984	utf-8	0.99
985	utf-8	0.99
986	utf-8	0.99
987	utf-8	0.99
988	utf-8	0.99
989	utf-8	0.99
990	utf-8	0.99
991	utf-8	0.99
992	utf-8	0.99
993	utf-8	0.99
994	utf-8	0.99
995	utf-8	0.99
996	utf-8	0.99
997	utf-8	0.99
998	utf-8	0.99
999	utf-8	0.99
1000	utf-8	0.99
1001	utf-8	0.99
1002	utf-8	0.99
1003	utf-8	0.99
1004	utf-8	0.99
1005	utf-8	0.99
1006	utf-8	0.99
1007	utf-8	0.99
1008	utf-8	0.99
1009	utf-8	0.99
1010	utf-8	0.99
1011	utf-8	0.99
1012	utf-8	0.99
1013	utf-8	0.99
1014	utf-8	0.99
1015	utf-8	0.99
1016	utf-8	0.99
1017	utf-8	0.99
1018	utf-8	0.99
1019	utf-8	0.99
1020	utf-8	0.99
1021	utf-8	0.99
1022	utf-8	0.99
1023	utf-8	0.99
1024	utf-8	0.99
1025	utf-8	0.99
1026	utf-8	0.99
1027	utf-8	0.99
1028	utf-8	0.99
1029	utf-8	0.99
1030	utf-8	0.99
1031	utf-8	0.99
1032	utf-8	0.99
1033	utf-8	0.99
1034	utf-8	0.99
1035	utf-8	0.99
1036	utf-8	0.99
1037	utf-8	0.99
1038	utf-8	0.99
1039	utf-8	0.99
1040	utf-8	0.99
1041	utf-8	0.99
1042	utf-8	0.99
1043	utf-8	0.99
1044	utf-8	0.99
1045	utf-8	0.99
1046	utf-8	0.99
1047	utf-8	0.99
1048	utf-8	0.99
1049	utf-8	0.99
1050	utf-8	0.99
1051	utf-8	0.99
1052	utf-8	0.99
1053	utf-8	0.99
1054	utf-8	0.99
1055	utf-8	0.99
1056	utf-8	0.99
1057	utf-8	0.99
1058	utf-8	0.99
1059	utf-8	0.99
1060	utf-8	0.99
1061	utf-8	0.99
1062	utf-8	0.99
1063	utf-8	0.99
1064	utf-8	0.99
1065	utf-8	0.99
1066	utf-8	0.99
1067	utf-8	0.99
1068	utf-8	0.99
1069	utf-8	0.99
1070	utf-8	0.99
1071	utf-8	0.99
1072	utf-8	0.99
1073	utf-8	0.99
1074	utf-8	0.99
1075	utf-8	0.99
1076	utf-8	0.99
1077	utf-8	0.99
1078	utf-8	0.99
1079	utf-8	0.99
1080	utf-8	0.99
1081	utf-8	0.99
1082	utf-8	0.99
1083	utf-8	0.99
1084	utf-8	0.99
1085	utf-8	0.99
1086	utf-8	0.99
1087	utf-8	0.99
1088	utf-8	0.99
1089	utf-8	0.99
1090	utf-8	0.99
1091	utf-8	0.99
1092	utf-8	0.99
1093	utf-8	0.99
1094	utf-8	0.99
1095	utf-8	0.99
1096	utf-8	0.99
1097	utf-8	0.99
1098	utf-8	0.99
1099	utf-8	0.99
1100	utf-8	0.99
1101	utf-8	0.99
1102	utf-8	0.99
1103	utf-8	0.99
1104	utf-8	0.99
1105	utf-8	0.99
1106	utf-8	0.99
1107	utf-8	0.99
1108	utf-8	0.99
1109	utf-8	0.99
1110	utf-8	0.99
1111	utf-8	0.99
1112	utf-8	0.99
1113	utf-8	0.99
1114	utf-8	0.99
1115	utf-8	0.99
1116	utf-8	0.99
1117	utf-8	0.99
1118	utf-8	0.99
1119	utf-8	0.99
1120	utf-8	0.99
1121	utf-8	0.99
1122	utf-8	0.99
1123	utf-8	0.99
1124	utf-8	0.99
1125	utf-8	0.99
1126	utf-8	0.99
1127	utf-8	0.99
1128	utf-8	0.99
1129	utf-8	0.99
1130	utf-8	0.99
1131	utf-8	0.99
1132	Windows-1254	0.3386615051713989
1133	utf-8	0.99
1134	utf-8	0.99
1135	utf-8	0.99
1136	utf-8	0.99
1137	utf-8	0.99
1138	utf-8	0.99
1139	utf-8	0.99
1140	utf-8	0.99
1141	utf-8	0.99
1142	utf-8	0.99
1143	utf-8	0.99
1144	utf-8	0.99
1145	utf-8	0.99
1146	utf-8	0.99
1147	utf-8	0.99
1148	utf-8	0.99
1149	utf-8	0.99
1150	utf-8	0.99
1151	utf-8	0.99
1152	utf-8	0.99
1153	utf-8	0.99
1154	utf-8	0.99
1155	utf-8	0.99
1156	utf-8	0.99
1157	utf-8	0.99
1158	utf-8	0.99
1159	utf-8	0.99
1160	utf-8	0.99
1161	utf-8	0.99
1162	utf-8	0.99
1163	utf-8	0.99
1164	utf-8	0.99
1165	utf-8	0.99
1166	utf-8	0.99
1167	utf-8	0.99
1168	utf-8	0.99
1169	utf-8	0.99
1170	utf-8	0.99
1171	utf-8	0.99
1172	utf-8	0.99
1173	utf-8	0.99
1174	utf-8	0.99
1175	utf-8	0.99
1176	utf-8	0.99
1177	utf-8	0.99
1178	utf-8	0.99
1179	utf-8	0.99
1180	utf-8	0.99
1181	utf-8	0.99
1182	utf-8	0.99
1183	utf-8	0.99
1184	utf-8	0.99
1185	utf-8	0.99
1186	utf-8	0.99
1187	utf-8	0.99
1188	utf-8	0.99
1189	utf-8	0.99
1190	utf-8	0.99
1191	utf-8	0.99
1192	utf-8	0.99
1193	utf-8	0.99
1194	utf-8	0.99
1195	utf-8	0.99
1196	utf-8	0.99
1197	utf-8	0.99
1198	utf-8	0.99
1199	utf-8	0.99
1200	utf-8	0.99
1201	utf-8	0.99
1202	utf-8	0.99
1203	utf-8	0.99
1204	utf-8	0.99
1205	utf-8	0.99
1206	utf-8	0.99
1207	utf-8	0.99
1208	utf-8	0.99
1209	utf-8	0.99
1210	utf-8	0.99
1211	utf-8	0.99
1212	utf-8	0.99
1213	utf-8	0.99
1214	utf-8	0.99
1215	utf-8	0.99
1216	utf-8	0.99
1217	utf-8	0.99
1218	utf-8	0.99
1219	utf-8	0.99
1220	utf-8	0.99
1221	utf-8	0.99
1222	utf-8	0.99
1223	utf-8	0.99
1224	utf-8	0.99
1225	utf-8	0.99
1226	utf-8	0.99
1227	utf-8	0.99
1228	utf-8	0.99
1229	utf-8	0.99
1230	utf-8	0.99
1231	utf-8	0.99
1232	utf-8	0.99
1233	utf-8	0.99
1234	utf-8	0.99
1235	utf-8	0.99
1236	utf-8	0.99
